Item1	Item2	Sim
s1h1	s1h1	0.00
s1h1	s1h2	2.01
s1h1	s1h3	4.05
s1h1	s2h1	2.03
s1h1	s2h3	4.52
s1h1	s3h1	3.87
s1h1	s3h2	4.60
s1h1	s3h3	5.56
s1h2	s1h1	2.10
s1h2	s1h2	0.00
s1h2	s1h3	1.86
s1h2	s2h1	2.67
s1h2	s2h3	2.68
s1h2	s3h1	4.29
s1h2	s3h2	3.95
s1h2	s3h3	4.57
s1h3	s1h1	3.98
s1h3	s1h2	1.98
s1h3	s1h3	0.00
s1h3	s2h1	4.51
s1h3	s2h3	1.91
s1h3	s3h1	5.69
s1h3	s3h2	4.38
s1h3	s3h3	4.05
s2h1	s1h1	1.95
s2h1	s1h2	2.78
s2h1	s1h3	4.57
s2h1	s2h1	0.00
s2h1	s2h3	4.00
s2h1	s3h1	1.88
s2h1	s3h2	2.71
s2h1	s3h3	4.73
s2h3	s1h1	4.73
s2h3	s1h2	2.78
s2h3	s1h3	2.06
s2h3	s2h1	3.82
s2h3	s2h3	0.00
s2h3	s3h1	4.28
s2h3	s3h2	2.95
s2h3	s3h3	2.15
s3h1	s1h1	4.01
s3h1	s1h2	4.37
s3h1	s1h3	5.68
s3h1	s2h1	1.96
s3h1	s2h3	4.40
s3h1	s3h1	0.00
s3h1	s3h2	1.91
s3h1	s3h3	3.96
s3h2	s1h1	4.64
s3h2	s1h2	4.10
s3h2	s1h3	4.44
s3h2	s2h1	2.68
s3h2	s2h3	2.97
s3h2	s3h1	1.85
s3h2	s3h2	0.00
s3h2	s3h3	2.01
s3h3	s1h1	5.63
s3h3	s1h2	4.40
s3h3	s1h3	4.05
s3h3	s2h1	4.44
s3h3	s2h3	1.99
s3h3	s3h1	3.88
s3h3	s3h2	2.19
s3h3	s3h3	0.24
